candidate,extra_adverse_bps_per_side,symbol,net_pnl
qqq_single_ma150_weekly_top1,2.0,INSM,0.0
qqq_single_ma150_weekly_top1,2.0,INTC,0.0
qqq_single_ma150_weekly_top1,2.0,INTU,0.0
qqq_single_ma150_weekly_top1,2.0,MDLZ,0.0
qqq_single_ma150_weekly_top1,2.0,MDB,0.0
qqq_single_ma150_weekly_top1,2.0,KLAC,0.0
qqq_single_ma150_weekly_top1,2.0,LIN,0.0
qqq_single_ma150_weekly_top1,2.0,MAR,0.0
qqq_single_ma150_weekly_top1,2.0,FER,0.0
qqq_single_ma150_weekly_top1,2.0,FOX,0.0
qqq_single_ma150_weekly_top1,2.0,FOXA,0.0
qqq_single_ma150_weekly_top1,2.0,GOOGL,0.0
qqq_single_ma150_weekly_top1,2.0,FTNT,0.0
qqq_single_ma150_weekly_top1,2.0,GEHC,0.0
qqq_single_ma150_weekly_top1,2.0,GFS,0.0
qqq_single_ma150_weekly_top1,2.0,HAS,0.0
qqq_single_ma150_weekly_top1,2.0,DXCM,0.0
qqq_single_ma150_weekly_top1,2.0,EBAY,0.0
qqq_single_ma150_weekly_top1,2.0,EXC,0.0
qqq_single_ma150_weekly_top1,2.0,WYNN,0.0
qqq_single_ma150_weekly_top1,2.0,WBA,0.0
qqq_single_ma150_weekly_top1,2.0,WTW,0.0
qqq_single_ma150_weekly_top1,2.0,SGEN,0.0
qqq_single_ma150_weekly_top1,2.0,SBUX,0.0
qqq_single_ma150_weekly_top1,2.0,ROST,0.0
qqq_single_ma150_weekly_top1,2.0,MSFT,0.0
qqq_single_ma150_weekly_top1,2.0,MRVL,0.0
qqq_single_ma150_weekly_top1,2.0,LULU,0.0
qqq_single_ma150_weekly_top1,2.0,LRCX,0.0
qqq_single_ma150_weekly_top1,2.0,MCHP,0.0
qqq_single_ma150_weekly_top1,2.0,NXPI,0.0
qqq_single_ma150_weekly_top1,2.0,NTES,0.0
qqq_single_ma150_weekly_top1,2.0,NLOK,0.0
qqq_single_ma150_weekly_top1,2.0,MYL,0.0
qqq_single_ma150_weekly_top1,2.0,MXIM,0.0
qqq_single_ma150_weekly_top1,2.0,SHOP,0.0
qqq_single_ma150_weekly_top1,2.0,PAYX,0.0
qqq_single_ma150_weekly_top1,2.0,PCAR,0.0
qqq_single_ma150_weekly_top1,2.0,PEP,0.0
